match,score,result,model_prob,fair_odds,market_score_odds,edge,value,home_lambda,away_lambda
Canada vs Bosnia,6-5,H,3.599908858753022e-06,277784.81045944913,,,False,1.44,0.8
Canada vs Bosnia,5-6,A,1.9999493659739015e-06,500012.65882700833,,,False,1.44,0.8
Canada vs Bosnia,6-6,D,4.799878478337364e-07,2083386.078445868,,,False,1.44,0.8
USA vs Paraguay,1-0,H,0.14958426378915077,6.685195184766014,6.0,-0.10249441726509534,False,1.35,0.85
USA vs Paraguay,1-1,D,0.12714662422077816,7.864935511489429,5.45,-0.307050897996759,False,1.35,0.85
USA vs Paraguay,0-0,D,0.1108031583623339,9.02501349943412,8.0,-0.11357473310132882,False,1.35,0.85
USA vs Paraguay,2-0,H,0.10096937805767676,9.903992866320023,8.0,-0.192244975538586,False,1.35,0.85
USA vs Paraguay,0-1,A,0.0941826846079838,10.61766294051073,8.75,-0.17590150968014173,False,1.35,0.85
USA vs Paraguay,2-1,H,0.08582397134902525,11.651756313317673,7.25,-0.377776207719567,False,1.35,0.85
USA vs Paraguay,1-2,A,0.05403731529383071,18.505730615269243,,,False,1.35,0.85
USA vs Paraguay,3-0,H,0.04543622012595455,22.00887303626671,,,False,1.35,0.85
USA vs Paraguay,0-2,A,0.04002764095839311,24.982736330613488,,,False,1.35,0.85
USA vs Paraguay,3-1,H,0.03862078710706137,25.8927918073726,,,False,1.35,0.85
USA vs Paraguay,2-2,D,0.036475187823335725,27.415897207806292,,,False,1.35,0.85
USA vs Paraguay,3-2,H,0.01641383452050108,60.92421601734731,,,False,1.35,0.85
USA vs Paraguay,4-0,H,0.015334724292509663,65.21147566301246,,,False,1.35,0.85
USA vs Paraguay,1-3,A,0.015310572666585366,65.3143433480091,,,False,1.35,0.85
USA vs Paraguay,4-1,H,0.013034515648633213,76.71938313295585,,,False,1.35,0.85
USA vs Paraguay,0-3,A,0.011341164938211381,88.1743635198123,,,False,1.35,0.85
USA vs Paraguay,2-3,A,0.010334636549945122,96.76199014519868,,,False,1.35,0.85
USA vs Paraguay,4-2,H,0.005539669150669115,180.51619560695497,,,False,1.35,0.85
USA vs Paraguay,3-3,D,0.004650586447475305,215.02664476710817,,,False,1.35,0.85
USA vs Paraguay,5-0,H,0.004140375558977609,241.52398393708322,,,False,1.35,0.85
USA vs Paraguay,5-1,H,0.003519319225130968,284.145863455392,,,False,1.35,0.85
USA vs Paraguay,1-4,A,0.003253496691649391,307.3616157553369,,,False,1.35,0.85
USA vs Paraguay,0-4,A,0.002409997549369919,414.9381812697049,,,False,1.35,0.85
USA vs Paraguay,2-4,A,0.0021961102668633385,455.3505418597585,,,False,1.35,0.85
USA vs Paraguay,4-3,H,0.0015695729260229157,637.1159844951352,,,False,1.35,0.85
