match_id,date,competition,league_name,home_team,away_team,home_goals,away_goals,result,home_elo,away_elo,home_elo_after,away_elo_after,elo_diff,home_expected_score,away_expected_score,elo_home_change,elo_away_change,home_lambda,away_lambda,model_home_prob,model_draw_prob,model_away_prob,top_score_1,top_score_1_prob,top_score_2,top_score_2_prob,top_score_3,top_score_3_prob
I1_2324_249,2024-02-24,I1,Serie A,Sassuolo,Empoli,2,3,A,1405.925832781876,1430.8942437947317,1388.7806033304928,1448.039473246115,-24.96841101285554,0.5715076483794465,0.4284923516205535,-17.145229451383393,17.145229451383393,1.2683077922396602,1.436954035251736,0.33280538529508963,0.2568322433044847,0.4103623714004257,1-1,0.12184260529732721,0-1,0.09606706356520102,1-2,0.08754111167378945
F1_2324_200,2024-02-24,F1,Ligue 1,Strasbourg,Brest,0,3,A,1455.9309036102252,1587.4909270062592,1438.514471677957,1604.907358938527,-131.560023396034,0.4193150844610918,0.5806849155389082,-17.416431932267802,17.416431932267802,0.9716151724437093,1.8757426311244507,0.19167234403393985,0.22283895573408732,0.5854887002319729,0-1,0.1088043999516937,1-1,0.10571600582169921,0-2,0.10204452572165353
F1_2324_199,2024-02-24,F1,Ligue 1,Lorient,Nantes,0,1,A,1449.8884424148732,1427.4742764103366,1430.7895842211,1446.57313460411,22.414166004536582,0.6366286064591151,0.3633713935408849,-19.09885819377345,19.09885819377345,1.4278074379656505,1.2764326277755706,0.4062735722082554,0.25709465173832274,0.33663177605342176,1-1,0.12196709327757242,1-0,0.09555309902264372,2-1,0.08707276148438409
D1_2324_199,2024-02-24,D1,Bundesliga,M'gladbach,Bochum,5,2,H,1444.963759074862,1487.615163431902,1463.8034274469876,1468.7754950597762,-42.651404357040064,0.5464193145071907,0.4535806854928093,18.839668372125782,-18.839668372125782,1.2134603621227835,1.5019031992209326,0.30680836140053946,0.2542523425618751,0.4389392960375853,1-1,0.1206186864316753,0-1,0.09940059864886673,1-2,0.09057879551877981
D1_2324_200,2024-02-24,D1,Bundesliga,Stuttgart,FC Koln,1,1,D,1600.7791324182272,1409.5113825556562,1591.1068374681756,1419.1836775057077,191.267749862571,0.8224098316683849,0.1775901683316151,-9.672294950051546,9.672294950051546,2.177710220253179,0.8368882062683792,0.6802102287493359,0.18857509416944193,0.13121467708122206,2-0,0.11639561272147295,1-0,0.1068972461431906,2-1,0.09741011554798244
D1_2324_201,2024-02-24,D1,Bundesliga,Union Berlin,Heidenheim,2,2,D,1457.4534709872062,1490.6348790999702,1455.6566857860005,1492.4316643011762,-33.181408112764075,0.5598928400401965,0.4401071599598035,-1.7967852012058938,1.7967852012058938,1.2425317999328072,1.4667632652126539,0.32062126886880804,0.2557990509597994,0.4235796801713926,1-1,0.1213524532610018,0-1,0.09766547082945018,1-2,0.08899766029333649
E0_2324_252,2024-02-24,E0,Premier League,Crystal Palace,Burnley,3,0,H,1418.2721721096618,1348.3114942354653,1430.8450585052888,1335.7386078398383,69.96067787419656,0.6972973028341992,0.3027026971658008,12.57288639562699,-12.57288639562699,1.6080243073212392,1.1333783896812168,0.48376599307084905,0.24772147034872488,0.268512536580426,1-1,0.11752040533162367,1-0,0.10369035302029925,2-1,0.09448783418974771
E0_2324_251,2024-02-24,E0,Premier League,Brighton,Everton,1,1,D,1527.0083103249287,1476.3335527356012,1521.807374394734,1481.534488665796,50.67475758932756,0.6733645310064953,0.3266354689935047,-5.200935930194859,5.200935930194859,1.5323331161521838,1.1893627963718814,0.45203821025262125,0.25264839149207247,0.2953133982553063,1-1,0.1198577633692135,1-0,0.10077477094023482,2-1,0.09183101001928899
E0_2324_250,2024-02-24,E0,Premier League,Aston Villa,Nott'm Forest,4,2,H,1576.8635344475067,1432.0225370128262,1585.0657271197758,1423.820344340557,144.8409974346805,0.7799725660193639,0.220027433980636,8.202192672269014,-8.202192672269014,1.939067303424718,0.9398848594791731,0.607086940425633,0.21591734723418074,0.17699571234018618,1-0,0.1089839423210629,2-0,0.10566359957654922,1-1,0.1024323573139185
E0_2324_255,2024-02-24,E0,Premier League,Arsenal,Newcastle,4,1,H,1649.1693244172525,1507.2589929003202,1658.4290793483135,1497.9992379692587,141.91033151693205,0.7770636984597662,0.2229363015402338,9.259754931061376,-9.259754931061376,1.9249123249897835,0.9467963690292612,0.6023406513264734,0.2174848775770315,0.18017447109649498,1-0,0.1089738042535149,2-0,0.10488250945430745,1-1,0.10317600218653336
