match_id,date,competition,home_team,away_team,home_goals,away_goals,result,status,league_name,home_elo,away_elo,elo_diff,home_expected_score,away_expected_score,home_elo_after,away_elo_after,elo_home_change,elo_away_change
SP1_2324_188,2024-01-04,SP1,Sevilla,Ath Bilbao,0,2,A,finished,La Liga,1443.745460357546,1578.8831446484508,-135.13768429090464,0.4143089844880089,0.5856910155119911,1431.3161908229058,1591.312414183091,-12.429269534640298,12.429269534640298
SP1_2324_189,2024-01-04,SP1,Las Palmas,Barcelona,1,2,A,finished,La Liga,1510.3805195552434,1588.7472862967284,-78.36676674148498,0.4951549848330873,0.5048450151669127,1495.5258700102509,1603.601935841721,-14.854649544992526,14.854649544992526
I1_2324_180,2024-01-05,I1,Bologna,Genoa,1,1,D,finished,Serie A,1556.8402079588952,1473.2065233554915,83.63368460340371,0.7136481784492335,0.28635182155076655,1550.4307626054183,1479.6159687089685,-6.40944535347694,6.40944535347694
I1_2324_181,2024-01-06,I1,Inter,Verona,2,1,H,finished,Serie A,1643.572903997297,1413.3239352695844,230.24896872771274,0.852852899607215,0.147147100392785,1647.9873170090807,1408.9095222578007,4.4144130117836085,-4.4144130117836085
I1_2324_182,2024-01-06,I1,Frosinone,Monza,2,3,A,finished,Serie A,1448.5148428429989,1484.4568975340392,-35.94205469104031,0.5559733076091832,0.4440266923908168,1431.8356436147233,1501.1360967623148,-16.679199228275593,16.679199228275593
I1_2324_183,2024-01-06,I1,Lecce,Cagliari,1,1,D,finished,Serie A,1471.2217283597888,1423.3163919958295,47.90533636395935,0.669848513492259,0.33015148650774095,1466.126272955021,1428.4118474005973,-5.09545540476779,5.09545540476779
I1_2324_184,2024-01-06,I1,Sassuolo,Fiorentina,1,0,H,finished,Serie A,1426.1691444312391,1559.7265131265453,-133.5573686953062,0.416518149307131,0.583481850692869,1443.6735999520251,1542.2220576057593,17.504455520785996,-17.504455520785996
I1_2324_185,2024-01-07,I1,Empoli,Milan,0,3,A,finished,Serie A,1415.5297314336738,1563.162757033134,-147.63302559946032,0.3969692652423394,0.6030307347576607,1403.6206534764035,1575.0718349904043,-11.909077957270256,11.909077957270256
I1_2324_186,2024-01-07,I1,Torino,Napoli,3,0,H,finished,Serie A,1500.9609455706334,1514.0058460338325,-13.044900463199156,0.5882273682617489,0.41177263173825107,1513.314124522781,1501.652667081685,12.353178952147573,-12.353178952147573
I1_2324_187,2024-01-07,I1,Udinese,Lazio,1,2,A,finished,Serie A,1479.7437654148741,1517.3346277437543,-37.59086232888012,0.5536289911857888,0.4463710088142112,1463.1348956793004,1533.943497479328,-16.608869735573762,16.608869735573762
I1_2324_188,2024-01-07,I1,Salernitana,Juventus,1,2,A,finished,Serie A,1420.042049544485,1636.9708975565718,-216.92884801208675,0.3063991208846194,0.6936008791153806,1410.8500759179465,1646.1628711831104,-9.191973626538584,9.191973626538584
I1_2324_189,2024-01-07,I1,Roma,Atalanta,1,1,D,finished,Serie A,1533.3762098420975,1518.5240809552345,14.852128886863056,0.6264999208171296,0.3735000791828704,1529.5812122175837,1522.3190785797483,-3.794997624513826,3.794997624513826
D1_2324_143,2024-01-12,D1,Bayern Munich,Hoffenheim,3,0,H,finished,Bundesliga,1626.7870361645885,1502.996551686534,123.7904844780544,0.7584737477828764,0.24152625221712365,1634.032823731102,1495.7507641200204,7.245787566513627,-7.245787566513627
E0_2324_198,2024-01-12,E0,Burnley,Luton,1,1,D,finished,Premier League,1382.1194197415975,1424.7642056492928,-42.64478590769522,0.546428757111123,0.45357124288887696,1380.7265570282639,1426.1570683626264,-1.3928627133336704,1.3928627133336704
F1_2324_153,2024-01-12,F1,Marseille,Strasbourg,1,1,D,finished,Ligue 1,1534.5558471554389,1504.619920212222,29.935926943216828,0.6465845634945623,0.3534154365054377,1530.158310250602,1509.017457117059,-4.3975369048368975,4.3975369048368975
SP1_2324_190,2024-01-12,SP1,Sevilla,Alaves,2,3,A,finished,La Liga,1431.3161908229058,1442.0739680169931,-10.757777194087339,0.5914125743300397,0.4085874256699603,1413.5738135930046,1459.8163452468943,-17.742377229901194,17.742377229901194
D1_2324_144,2024-01-13,D1,Augsburg,Leverkusen,0,1,A,finished,Bundesliga,1475.4751661883413,1639.7384079227807,-164.26324173443936,0.3742936493901723,0.6257063506098277,1464.246356706636,1650.9672174044858,-11.228809481705184,11.228809481705184
D1_2324_145,2024-01-13,D1,FC Koln,Heidenheim,1,1,D,finished,Bundesliga,1419.7869684359996,1487.526093295121,-67.73912485912138,0.5104477183315612,0.4895522816684388,1419.4735368860527,1487.839524845068,-0.3134315499469267,0.3134315499469267
D1_2324_146,2024-01-13,D1,Freiburg,Union Berlin,0,0,D,finished,Bundesliga,1512.2852920723458,1432.391789875221,79.89350219712469,0.709228221338128,0.290771778661872,1506.008445432202,1438.6686365153648,-6.276846640143731,6.276846640143731
D1_2324_147,2024-01-13,D1,Mainz,Wolfsburg,1,1,D,finished,Bundesliga,1431.7705453463598,1460.78501852652,-29.014473180160167,0.56579473526419,0.43420526473581,1429.7967032884342,1462.7588605844455,-1.9738420579255944,1.9738420579255944
D1_2324_148,2024-01-13,D1,RB Leipzig,Ein Frankfurt,0,1,A,finished,Bundesliga,1573.3884944563108,1527.749473897715,45.6390205585958,0.6669570134676417,0.3330429865323583,1553.3797840522816,1547.7581843017442,-20.008710404029216,20.008710404029216
D1_2324_149,2024-01-13,D1,Darmstadt,Dortmund,0,3,A,finished,Bundesliga,1403.1046897136189,1534.8328583035654,-131.72816858994656,0.4190794237212611,0.5809205762787388,1390.532307001981,1547.4052410152033,-12.572382711637829,12.572382711637829
E0_2324_199,2024-01-13,E0,Chelsea,Fulham,1,0,H,finished,Premier League,1506.7840654789838,1469.766527802692,37.017537676291795,0.6558432931089615,0.3441567068910385,1517.108766685715,1459.441826595961,10.324701206731106,-10.324701206731106
E0_2324_200,2024-01-13,E0,Newcastle,Man City,2,3,A,finished,Premier League,1486.3168708113565,1591.2337400921247,-104.9168692807682,0.45705225758767365,0.5429477424123264,1472.6053030837263,1604.9453078197548,-13.711567727630154,13.711567727630154
F1_2324_154,2024-01-13,F1,Monaco,Reims,1,3,A,finished,Ligue 1,1561.6819537724439,1512.473201213579,49.208752558864944,0.6715057081492294,0.3284942918507706,1541.536782527967,1532.6183724580558,-20.145171244476842,20.145171244476842
F1_2324_155,2024-01-13,F1,Rennes,Nice,2,0,H,finished,Ligue 1,1468.7630723241116,1583.0932059506279,-114.33013362651627,0.4436399248465961,0.5563600751534039,1485.4538745787138,1566.4024036960257,16.690802254602204,-16.690802254602204
I1_2324_190,2024-01-13,I1,Genoa,Torino,0,0,D,finished,Serie A,1479.6159687089685,1513.314124522781,-33.69815581381249,0.5591597207304377,0.44084027926956226,1477.8411770870553,1515.0889161446942,-1.7747916219132094,1.7747916219132094
I1_2324_191,2024-01-13,I1,Napoli,Salernitana,2,1,H,finished,Serie A,1501.652667081685,1410.8500759179465,90.8025911637385,0.7220065055162924,0.2779934944837076,1509.992471916196,1402.5102710834353,8.339804834511142,-8.339804834511142
I1_2324_192,2024-01-13,I1,Verona,Empoli,2,1,H,finished,Serie A,1408.9095222578007,1403.6206534764035,5.288868781397241,0.6135311769264791,0.38646882307352093,1420.5035869500064,1392.0265887841979,11.59406469220562,-11.59406469220562
