match_id,bookmaker,home_odds,draw_odds,away_odds,timestamp,league_name
E0_2324_223,B365,1.7,4.2,4.5,2024-02-04,Premier League
E0_2324_224,B365,1.62,4.0,5.5,2024-02-04,Premier League
E0_2324_225,B365,1.62,4.2,5.0,2024-02-04,Premier League
E0_2324_226,B365,2.2,3.6,3.1,2024-02-04,Premier League
E0_2324_227,B365,7.0,4.75,1.4,2024-02-05,Premier League
E0_2324_228,B365,1.18,8.0,13.0,2024-02-10,Premier League
E0_2324_229,B365,2.38,3.5,2.8,2024-02-10,Premier League
E0_2324_230,B365,1.17,8.0,17.0,2024-02-10,Premier League
E0_2324_231,B365,1.75,3.75,4.75,2024-02-10,Premier League
E0_2324_232,B365,1.8,4.2,3.8,2024-02-10,Premier League
E0_2324_233,B365,2.1,3.6,3.4,2024-02-10,Premier League
E0_2324_234,B365,3.3,3.75,2.05,2024-02-10,Premier League
E0_2324_235,B365,6.0,4.33,1.53,2024-02-11,Premier League
E0_2324_236,B365,2.15,3.75,3.1,2024-02-11,Premier League
E0_2324_237,B365,4.2,3.8,1.85,2024-02-12,Premier League
E0_2324_238,B365,5.5,4.33,1.57,2024-02-17,Premier League
E0_2324_239,B365,10.0,5.75,1.29,2024-02-17,Premier League
E0_2324_240,B365,2.9,3.75,2.2,2024-02-17,Premier League
E0_2324_241,B365,1.83,4.2,3.75,2024-02-17,Premier League
E0_2324_242,B365,2.38,3.5,2.9,2024-02-17,Premier League
E0_2324_243,B365,1.53,4.75,5.25,2024-02-17,Premier League
E0_2324_244,B365,1.33,5.5,8.0,2024-02-17,Premier League
E0_2324_245,B365,5.0,4.2,1.62,2024-02-18,Premier League
E0_2324_246,B365,4.0,4.0,1.8,2024-02-18,Premier League
E0_2324_247,B365,1.7,3.6,5.25,2024-02-19,Premier League
E0_2324_248,B365,1.18,8.0,13.0,2024-02-20,Premier League
E0_2324_249,B365,1.2,7.0,13.0,2024-02-21,Premier League
E0_2324_250,B365,1.53,4.5,5.75,2024-02-24,Premier League
E0_2324_251,B365,1.83,3.8,4.2,2024-02-24,Premier League
E0_2324_252,B365,1.95,3.5,4.0,2024-02-24,Premier League
E0_2324_253,B365,1.57,4.33,5.5,2024-02-24,Premier League
E0_2324_254,B365,7.0,5.25,1.4,2024-02-24,Premier League
E0_2324_255,B365,1.36,5.25,8.0,2024-02-24,Premier League
E0_2324_256,B365,1.44,4.75,7.0,2024-02-25,Premier League
E0_2324_257,B365,2.5,3.5,2.75,2024-02-26,Premier League
E0_2324_258,B365,3.1,3.75,2.15,2024-03-02,Premier League
E0_2324_259,B365,2.05,3.6,3.5,2024-03-02,Premier League
E0_2324_260,B365,2.55,3.6,2.63,2024-03-02,Premier League
E0_2324_261,B365,1.91,4.0,3.6,2024-03-02,Premier League
E0_2324_262,B365,6.0,4.33,1.53,2024-03-02,Premier League
E0_2324_263,B365,1.5,4.33,6.5,2024-03-02,Premier League
E0_2324_264,B365,4.33,4.2,1.73,2024-03-02,Premier League
E0_2324_265,B365,3.75,3.6,1.95,2024-03-03,Premier League
E0_2324_266,B365,1.25,5.75,11.0,2024-03-03,Premier League
E0_2324_267,B365,17.0,7.0,1.18,2024-03-04,Premier League
E0_2324_268,B365,1.83,3.6,4.0,2024-03-09,Premier League
E0_2324_269,B365,1.33,5.25,8.0,2024-03-09,Premier League
E0_2324_270,B365,1.75,3.8,4.2,2024-03-09,Premier League
E0_2324_271,B365,2.5,3.4,2.75,2024-03-09,Premier League
E0_2324_272,B365,1.22,7.0,11.0,2024-03-09,Premier League
E0_2324_273,B365,2.38,4.0,2.6,2024-03-10,Premier League
E0_2324_274,B365,1.8,4.0,4.0,2024-03-10,Premier League
E0_2324_275,B365,1.67,4.0,4.75,2024-03-10,Premier League
E0_2324_276,B365,3.0,3.75,2.2,2024-03-10,Premier League
E0_2324_277,B365,1.91,4.0,3.6,2024-03-11,Premier League
E0_2324_278,B365,1.5,4.75,5.75,2024-03-13,Premier League
E0_2324_279,B365,3.25,3.6,2.15,2024-03-16,Premier League
E0_2324_280,B365,2.8,3.5,2.45,2024-03-16,Premier League
E0_2324_281,B365,3.5,3.8,1.95,2024-03-16,Premier League
E0_2324_282,B365,2.63,3.75,2.45,2024-03-17,Premier League
E0_2324_283,B365,1.83,4.2,3.8,2024-03-30,Premier League
E0_2324_284,B365,2.2,3.6,3.2,2024-03-30,Premier League
E0_2324_285,B365,1.29,6.0,9.5,2024-03-30,Premier League
E0_2324_286,B365,2.2,3.3,3.4,2024-03-30,Premier League
E0_2324_287,B365,4.5,4.0,1.73,2024-03-30,Premier League
E0_2324_288,B365,1.2,8.0,11.0,2024-03-30,Premier League
E0_2324_289,B365,1.6,4.33,5.0,2024-03-30,Premier League
E0_2324_290,B365,3.0,3.8,2.2,2024-03-30,Premier League
E0_2324_291,B365,1.36,5.5,7.5,2024-03-31,Premier League
E0_2324_292,B365,1.91,3.8,3.8,2024-03-31,Premier League
E0_2324_293,B365,2.0,3.75,3.5,2024-04-02,Premier League
E0_2324_294,B365,2.7,3.4,2.63,2024-04-02,Premier League
E0_2324_295,B365,1.95,3.8,3.6,2024-04-02,Premier League
E0_2324_296,B365,2.45,3.6,2.75,2024-04-02,Premier League
E0_2324_297,B365,3.3,4.2,1.95,2024-04-02,Premier League
E0_2324_298,B365,1.1,10.0,19.0,2024-04-03,Premier League
E0_2324_299,B365,2.38,3.8,2.75,2024-04-03,Premier League
E0_2324_300,B365,1.3,6.0,8.0,2024-04-03,Premier League
E0_2324_301,B365,1.09,12.0,21.0,2024-04-04,Premier League
E0_2324_302,B365,2.0,4.0,3.4,2024-04-04,Premier League
E0_2324_303,B365,9.5,5.25,1.33,2024-04-06,Premier League
E0_2324_304,B365,1.7,4.0,4.75,2024-04-06,Premier League
E0_2324_305,B365,1.65,4.0,5.25,2024-04-06,Premier League
E0_2324_306,B365,2.38,3.8,2.8,2024-04-06,Premier League
E0_2324_307,B365,3.75,3.8,1.91,2024-04-06,Premier League
E0_2324_308,B365,2.5,3.6,2.7,2024-04-06,Premier League
E0_2324_309,B365,5.0,4.33,1.62,2024-04-06,Premier League
E0_2324_310,B365,4.75,4.5,1.6,2024-04-07,Premier League
E0_2324_311,B365,7.0,5.25,1.4,2024-04-07,Premier League
E0_2324_312,B365,1.4,5.5,6.5,2024-04-07,Premier League
E0_2324_313,B365,2.7,4.0,2.3,2024-04-13,Premier League
